"Date","Status","Type","CheckNumber","Description","Withdrawal","Deposit","RunningBalance"
"12/12/2025","Posted","VISA","","EL RANCHO #30 ...821 N MCD MCKINNEY","$13.43","","$6,344.83"
"12/12/2025","Posted","ACH","","CHASE CREDIT CRD AUTOPAY 251211","$143.13","","$6,358.26"
"12/12/2025","Posted","VISA","","Cinemark 800-2463627","$11.90","","$6,501.39"
"12/12/2025","Posted","DEBIT","","ZELLE TO KORY  SNEED,Effective  12/11/20","$15.00","","$6,513.29"
"12/12/2025","Posted","ACH","","TRANSAMERICA INS INSPAYMENT 37L/A~ Tran:","$102.38","","$6,528.29"
"12/11/2025","Posted","ACH","","VENMO PAYMENT 251210","$2.00","","$6,630.67"
"12/10/2025","Posted","ACH","","VENMO PAYMENT 251209","$25.00","","$6,632.67"
"12/10/2025","Posted","TRANSFER","","Funds Transfer to Brokerage ...904","$843.00","","$6,657.67"
"12/10/2025","Posted","TRANSFER","","Funds Transfer to Brokerage ...904","$70.00","","$7,500.67"
"12/08/2025","Posted","ACH","","BSWIFT HILTI BEN BSWIFT LLC","$1,453.17","","$7,570.67"
"12/08/2025","Posted","ACH","","BSWIFT HILTI BEN BSWIFT LLC","$8.31","","$9,023.84"
"12/07/2025","Posted","VISA","","FOCUS ON THE FAMILY 719-5313400","$61.64","","$9,032.15"
"12/05/2025","Posted","DEBIT","","ZELLE TO KORY  SNEED","$15.00","","$9,093.79"
"12/05/2025","Posted","TRANSFER","","Funds Transfer to Brokerage ...997","$100.00","","$9,108.79"
"12/05/2025","Posted","ACH","","CORNERSTONE ACAD FACTS","$26.00","","$9,208.79"
"12/04/2025","Posted","DEBIT","","ZELLE TO ZUZANA  SNEED","$25.00","","$9,234.79"
"12/04/2025","Posted","ACH","","CHASE CREDIT CRD AUTOPAY 251202~ Tran: A","$15.94","","$9,259.79"
"12/03/2025","Posted","DEBIT","","ZELLE TO ZUZANA  SNEED","$25.00","","$9,275.73"
"12/03/2025","Posted","TRANSFER","","Funds Transfer from Brokerage ...997","","$180.00","$9,300.73"
"12/03/2025","Posted","VISA","","PAULAWHITE.ORG PAULAWHITE.OR","$8.00","","$9,120.73"
"12/03/2025","Posted","ACH","","ANDREW WOMMACK M PAYROLL ~ Tran: ACHDD","","$911.72","$9,128.73"
"12/02/2025","Posted","ACH","","CREDIT UNION OF BILLPAY","$356.72","","$8,217.01"
"12/02/2025","Posted","VISA","","APPLE.COM/BILL 866-712-7753","$1.61","","$8,573.73"
"12/02/2025","Posted","VISA","","KENNETH COPELAND MINIST NEWARK","$25.00","","$8,575.34"
"12/01/2025","Posted","VISA","","CHURCH ELEVEN32 CHURCHELEVEN3","$14.70","","$8,600.34"
"12/01/2025","Posted","ACH","","L A FITNESS ANNUAL FEE 113025","$53.04","","$8,615.04"
"12/01/2025","Posted","TRANSFER","","Funds Transfer from Brokerage ...997","","$219.55","$8,668.08"
"12/01/2025","Posted","ACH","","APPLECARD GSBANK PAYMENT 113025","$219.55","","$8,448.53"
"12/01/2025","Posted","VISA","","ANDREW WOMMACK MINISTR AWMI.NET","$8.12","","$8,668.08"
